,Country,Average DNI (KWh/m^2/day),Average precipitation in depth (mm)
0,Afghanistan,4.339285714285714,327.0
1,Albania,5.541666666666667,1485.0
2,Algeria,5.819444444444445,89.0
3,Angola,4.339285714285714,1010.0
4,Argentina,5.4375,591.0
5,Armenia,4.325,562.0
6,Australia,5.819444444444445,534.0
7,Austria,5.34375,1110.0
8,Azerbaijan,3.9375,447.0
9,Bahamas,4.875,1292.0
10,Bahrain,6.75,83.0
11,Bangladesh,3.9375,2666.0
12,Barbados,4.5,1422.0
13,Belarus,4.5,618.0
14,Belgium,3.3125,847.0
15,Belize,3.75,1705.0
16,Benin,3.3125,1039.0
17,Bhutan,3.9375,2200.0
18,Bolivia,5.819444444444445,1146.0
19,Botswana,7.275,416.0
20,Brazil,4.339285714285714,1761.0
21,Brunei,4.875,2722.0
22,Bulgaria,4.325,608.0
23,Burkina Faso,4.0,748.0
24,Burundi,3.3125,1274.0
25,Cambodia,3.6,1904.0
26,Cameroon,3.9375,1604.0
27,Canada,3.6,537.0
28,Cape Verde,6.75,228.0
29,Central African Republic,3.9375,1343.0
30,Chad,6.140625,322.0
31,Chile,5.4375,1522.0
32,China,5.4375,645.0
33,Colombia,5.041666666666667,3240.0
34,Comoros,4.875,900.0
35,Congo,3.6607142857142856,1646.0
36,Costa Rica,4.339285714285714,2926.0
37,Croatia,5.025,1113.0
38,Cuba,5.34375,1335.0
39,Cyprus,5.75,498.0
40,Denmark,3.3125,703.0
41,Djibouti,4.59375,220.0
42,Dominica,4.25,2083.0
43,Dominican Republic,5.34375,1410.0
44,Ecuador,4.270833333333333,2274.0
45,Egypt,6.482142857142857,18.0
46,El Salvador,6.1875,1784.0
47,Equatorial Guinea,2.0,2156.0
48,Eritrea,4.729166666666667,384.0
49,Estonia,4.0,626.0
50,Ethiopia,4.339285714285714,848.0
51,Fiji,4.875,2592.0
52,Finland,4.0,536.0
53,France,4.339285714285714,867.0
54,Gabon,2.0,1831.0
55,Gambia,3.75,836.0
56,Georgia,4.325,1026.0
57,Germany,4.075,700.0
58,Ghana,3.9375,1187.0
59,Greece,5.025,652.0
60,Grenada,4.25,2350.0
61,Guatemala,4.729166666666667,1996.0
62,Guinea,3.3125,1651.0
63,Guinea-Bissau,3.0,1577.0
64,Guyana,4.59375,2387.0
65,Haiti,5.708333333333333,1440.0
66,Honduras,4.729166666666667,1976.0
67,Hungary,4.875,589.0
68,Iceland,3.3125,1940.0
69,India,5.4375,1083.0
70,Indonesia,5.107142857142857,2702.0
71,Iran,5.4375,228.0
72,Iraq,5.708333333333333,216.0
73,Ireland,3.333333333333333,1118.0
74,Israel,5.708333333333333,435.0
75,Italy,5.421875,832.0
76,Jamaica,4.875,2051.0
77,Japan,4.0,1668.0
78,Jordan,6.583333333333333,111.0
79,Kazakhstan,4.325,250.0
80,Kenya,4.339285714285714,630.0
81,Kuwait,4.59375,121.0
82,Kyrgyzstan,4.339285714285714,533.0
83,Laos,3.6,1834.0
84,Latvia,4.0,667.0
85,Lebanon,6.125,661.0
86,Lesotho,6.1875,788.0
87,Liberia,2.0,2391.0
88,Libya,6.140625,56.0
89,Lithuania,4.0,656.0
90,Luxembourg,4.0,934.0
91,Madagascar,4.71875,1513.0
92,Malawi,4.325,1181.0
93,Malaysia,4.325,2875.0
94,Maldives,5.625,1972.0
95,Mali,4.325,282.0
96,Malta,5.125,560.0
97,Mauritania,4.325,92.0
98,Mauritius,4.708333333333333,2041.0
99,Mexico,5.819444444444445,758.0
100,Moldova,5.625,450.0
101,Mongolia,4.339285714285714,241.0
102,Morocco,5.4375,346.0
103,Mozambique,4.325,1032.0
104,Myanmar,3.9375,2091.0
105,Namibia,5.819444444444445,285.0
106,Nepal,5.222222222222222,1500.0
107,Netherlands,3.3125,778.0
108,New Zealand,3.9375,1732.0
109,Nicaragua,4.339285714285714,2280.0
110,Niger,5.025,151.0
111,Nigeria,3.9375,1150.0
112,Norway,3.3125,1414.0
113,Oman,5.8,125.0
114,Pakistan,5.041666666666667,494.0
115,Panama,4.0,2928.0
116,Papua New Guinea,4.325,3142.0
117,Paraguay,5.1875,1130.0
118,Peru,4.71875,1738.0
119,Philippines,4.339285714285714,2348.0
120,Poland,3.6,600.0
121,Portugal,5.819444444444445,854.0
122,Qatar,6.583333333333333,74.0
123,Romania,4.875,637.0
124,Russia,4.339285714285714,460.0
125,Rwanda,3.0,1212.0
126,Samoa,5.625,2880.0
127,Saudi Arabia,5.819444444444445,59.0
128,Senegal,3.3125,686.0
129,Seychelles,4.0,2330.0
130,Sierra Leone,2.625,2526.0
131,Singapore,3.75,2497.0
132,Slovakia,4.25,824.0
133,Slovenia,4.875,1162.0
134,Somalia,5.025,282.0
135,South Africa,5.680555555555555,495.0
136,Spain,5.819444444444445,636.0
137,Sri Lanka,3.9375,1712.0
138,Sudan,5.041666666666667,250.0
139,Suriname,5.25,2331.0
140,Sweden,3.3125,624.0
141,Switzerland,5.34375,1537.0
142,Syria,5.416666666666667,252.0
143,Tajikistan,4.339285714285714,691.0
144,Tanzania,4.339285714285714,1071.0
145,Thailand,4.325,1622.0
146,Togo,3.6,1168.0
147,Tunisia,5.732142857142857,207.0
148,Turkey,4.71875,593.0
149,Turkmenistan,4.59375,161.0
150,Uganda,4.339285714285714,1180.0
151,Ukraine,4.325,565.0
152,United Arab Emirates,6.482142857142857,78.0
153,United Kingdom,3.6,1220.0
154,United States,5.4375,715.0
155,Uruguay,5.1875,1300.0
156,Uzbekistan,4.729166666666667,206.0
157,Vanuatu,6.1875,2000.0
158,Venezuela,5.421875,2044.0
159,Vietnam,3.9375,1821.0
160,Yemen,5.732142857142857,167.0
161,Zambia,4.59375,1020.0
162,Zimbabwe,5.34375,657.0
