Date,Inflation rate
2020-01-01,2.5
2020-02-01,2.3
2020-03-01,1.5
2020-04-01,0.3
2020-05-01,0.1
2020-06-01,0.6
2020-07-01,1.0
2020-08-01,1.3
2020-09-01,1.4
2020-10-01,1.2
2020-11-01,1.2
2020-12-01,1.4
2021-01-01,1.4
2021-02-01,1.7
2021-03-01,2.6
2021-04-01,4.2
2021-05-01,5.0
2021-06-01,5.4
2021-07-01,5.4
2021-08-01,5.3
2021-09-01,5.4
2021-10-01,6.2
2021-11-01,6.8
2021-12-01,7.0
2022-01-01,7.5
2022-02-01,7.9
2022-03-01,8.5
2022-04-01,8.3
2022-05-01,8.6
2022-06-01,9.1
2022-07-01,8.5
2022-08-01,8.3
2022-09-01,8.2
2022-10-01,7.7
2022-11-01,7.1
