Country,Class,KWh/m^2/day,Avg DHI,,KWh/m^2/day,Class,Capacity Factor
Afghanistan,1,<=3,2,,<= 3,1,12.03096
Afghanistan,2,3-3.5,3.25,,3 - 3.5,2,15.52001
Afghanistan,3,3.5-4,3.75,,3.5 - 4,3,17.91658
Afghanistan,4,4-4.5,4.25,,4 - 4.5,4,21.29447
Afghanistan,5,4.5-5,4.75,,4.5 - 5,5,24.655035
Afghanistan,6,5-6.25,5.625,,5 - 6.25,6,29.20168327
Afghanistan,7,6.25-7.25,6.75,,6.25 - 7.25,7,36.71121832
Albania,4,4-4.5,4.25,,7.25 - 7.5,8,41.22834286
Albania,6,5-6.25,5.625,,7.5 - 7.75,9,42.152525
Albania,7,6.25-7.25,6.75,,> 7.75,10,43.43753333
Algeria,10,>7.75,9,,"F2 to F11 are measures of DNI ranges, I want averages of these ranges, so that I can then average the DNI per country on colab",,
Algeria,2,3-3.5,3.25,,Average DNI,Class,
Algeria,3,3.5-4,3.75,,2,1,"#This formula will round the number in cell H15 to the nearest integer using the ROUND function, and then subtract 1 from the rounded integer using the INT function."
Algeria,4,4-4.5,4.25,,3.25,2,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F22"
Algeria,5,4.5-5,4.75,,3.75,3,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F23"
Algeria,6,5-6.25,5.625,,4.25,4,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F24"
Algeria,7,6.25-7.25,6.75,,4.75,5,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F25"
Algeria,8,7.25-7.5,7.375,,5.625,6,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F26"
Algeria,9,7.5-7.75,7.625,,6.75,7,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F27"
American Samoa,6,5-6.25,5.625,,7.375,8,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F28"
Andorra,7,6.25-7.25,6.75,,7.625,9,"#This formula will look up the values in the cells in the range F3:F10, and take the average of each range, respectively, into F15:F29"
Angola,1,<=3,2,,9,10,"#This formula will round the number in cell H15 to the nearest integer using the ROUND function, and then add 1 from the rounded integer using the INT function."
Angola,2,3-3.5,3.25,,,,
Angola,3,3.5-4,3.75,,,,"#These formulas make the replicability of this scale feasible as it's not an estimate of how over or below the numbers will from 7.75 and 3, respectively, but rather a fair jump considering the distance between the other points. Thus representing numbers that are vary from the usual separation but maintain plausible distance"
Angola,4,4-4.5,4.25,,,,
Angola,5,4.5-5,4.75,,,,
Angola,6,5-6.25,5.625,,,,
Angola,7,6.25-7.25,6.75,,,,
Anguilla,6,5-6.25,5.625,,,,
Antarctica,1,<=3,2,,,,
Antarctica,10,>7.75,9,,,,
Antarctica,2,3-3.5,3.25,,,,
Antarctica,3,3.5-4,3.75,,,,
Antarctica,4,4-4.5,4.25,,,,
Antarctica,5,4.5-5,4.75,,,,
Antarctica,6,5-6.25,5.625,,,,
Antarctica,7,6.25-7.25,6.75,,,,
Antarctica,8,7.25-7.5,7.375,,,,
Antarctica,9,7.5-7.75,7.625,,,,
Antigua & Barbuda,4,4-4.5,4.25,,,,
Antigua & Barbuda,5,4.5-5,4.75,,,,
Argentina,1,<=3,2,,,,
Argentina,10,>7.75,9,,,,
Argentina,2,3-3.5,3.25,,,,
Argentina,3,3.5-4,3.75,,,,
Argentina,4,4-4.5,4.25,,,,
Argentina,5,4.5-5,4.75,,,,
Argentina,6,5-6.25,5.625,,,,
Argentina,7,6.25-7.25,6.75,,,,
Argentina,8,7.25-7.5,7.375,,,,
Argentina,9,7.5-7.75,7.625,,,,
Armenia,2,3-3.5,3.25,,,,
Armenia,3,3.5-4,3.75,,,,
Armenia,4,4-4.5,4.25,,,,
Armenia,5,4.5-5,4.75,,,,
Armenia,6,5-6.25,5.625,,,,
Aruba,5,4.5-5,4.75,,,,
Aruba,6,5-6.25,5.625,,,,
Australia,10,>7.75,9,,,,
Australia,2,3-3.5,3.25,,,,
Australia,3,3.5-4,3.75,,,,
Australia,4,4-4.5,4.25,,,,
Australia,5,4.5-5,4.75,,,,
Australia,6,5-6.25,5.625,,,,
Australia,7,6.25-7.25,6.75,,,,
Australia,8,7.25-7.5,7.375,,,,
Australia,9,7.5-7.75,7.625,,,,
Austria,4,4-4.5,4.25,,,,
Austria,5,4.5-5,4.75,,,,
Austria,6,5-6.25,5.625,,,,
Austria,7,6.25-7.25,6.75,,,,
Azerbaijan,1,<=3,2,,,,
Azerbaijan,2,3-3.5,3.25,,,,
Azerbaijan,3,3.5-4,3.75,,,,
Azerbaijan,4,4-4.5,4.25,,,,
Azerbaijan,5,4.5-5,4.75,,,,
Azerbaijan,6,5-6.25,5.625,,,,
Bahrain,7,6.25-7.25,6.75,,,,
Baker I.,7,6.25-7.25,6.75,,,,
Bangladesh,1,<=3,2,,,,
Bangladesh,2,3-3.5,3.25,,,,
Bangladesh,3,3.5-4,3.75,,,,
Bangladesh,4,4-4.5,4.25,,,,
Bangladesh,5,4.5-5,4.75,,,,
Bangladesh,6,5-6.25,5.625,,,,
Barbados,4,4-4.5,4.25,,,,
Barbados,5,4.5-5,4.75,,,,
Belarus,4,4-4.5,4.25,,,,
Belarus,5,4.5-5,4.75,,,,
Belgium,1,<=3,2,,,,
Belgium,2,3-3.5,3.25,,,,
Belgium,3,3.5-4,3.75,,,,
Belgium,4,4-4.5,4.25,,,,
Belize,2,3-3.5,3.25,,,,
Belize,3,3.5-4,3.75,,,,
Belize,4,4-4.5,4.25,,,,
Benin,1,<=3,2,,,,
Benin,2,3-3.5,3.25,,,,
Benin,3,3.5-4,3.75,,,,
Benin,4,4-4.5,4.25,,,,
Bermuda,6,5-6.25,5.625,,,,
Bhutan,1,<=3,2,,,,
Bhutan,2,3-3.5,3.25,,,,
Bhutan,3,3.5-4,3.75,,,,
Bhutan,4,4-4.5,4.25,,,,
Bhutan,5,4.5-5,4.75,,,,
Bhutan,6,5-6.25,5.625,,,,
Bolivia,10,>7.75,9,,,,
Bolivia,2,3-3.5,3.25,,,,
Bolivia,3,3.5-4,3.75,,,,
Bolivia,4,4-4.5,4.25,,,,
Bolivia,5,4.5-5,4.75,,,,
Bolivia,6,5-6.25,5.625,,,,
Bolivia,7,6.25-7.25,6.75,,,,
Bolivia,8,7.25-7.5,7.375,,,,
Bolivia,9,7.5-7.75,7.625,,,,
Bosnia Herzegovina,5,4.5-5,4.75,,,,
Bosnia Herzegovina,6,5-6.25,5.625,,,,
Bosnia Herzegovina,7,6.25-7.25,6.75,,,,
Botswana,10,>7.75,9,,,,
Botswana,6,5-6.25,5.625,,,,
Botswana,7,6.25-7.25,6.75,,,,
Botswana,8,7.25-7.5,7.375,,,,
Botswana,9,7.5-7.75,7.625,,,,
Bouvet I.,1,<=3,2,,,,
Brazil,1,<=3,2,,,,
Brazil,2,3-3.5,3.25,,,,
Brazil,3,3.5-4,3.75,,,,
Brazil,4,4-4.5,4.25,,,,
Brazil,5,4.5-5,4.75,,,,
Brazil,6,5-6.25,5.625,,,,
Brazil,7,6.25-7.25,6.75,,,,
British Indian Ocean Territory,6,5-6.25,5.625,,,,
British Virgin Is.,6,5-6.25,5.625,,,,
Brunei,4,4-4.5,4.25,,,,
Brunei,5,4.5-5,4.75,,,,
Brunei,6,5-6.25,5.625,,,,
Bulgaria,2,3-3.5,3.25,,,,
Bulgaria,3,3.5-4,3.75,,,,
Bulgaria,4,4-4.5,4.25,,,,
Bulgaria,5,4.5-5,4.75,,,,
Bulgaria,6,5-6.25,5.625,,,,
Burkina Faso,2,3-3.5,3.25,,,,
Burkina Faso,3,3.5-4,3.75,,,,
Burkina Faso,4,4-4.5,4.25,,,,
Burkina Faso,5,4.5-5,4.75,,,,
Burundi,1,<=3,2,,,,
Burundi,2,3-3.5,3.25,,,,
Burundi,3,3.5-4,3.75,,,,
Burundi,4,4-4.5,4.25,,,,
Cambodia,1,<=3,2,,,,
Cambodia,2,3-3.5,3.25,,,,
Cambodia,3,3.5-4,3.75,,,,
Cambodia,4,4-4.5,4.25,,,,
Cambodia,5,4.5-5,4.75,,,,
Cameroon,1,<=3,2,,,,
Cameroon,2,3-3.5,3.25,,,,
Cameroon,3,3.5-4,3.75,,,,
Cameroon,4,4-4.5,4.25,,,,
Cameroon,5,4.5-5,4.75,,,,
Cameroon,6,5-6.25,5.625,,,,
Canada,1,<=3,2,,,,
Canada,2,3-3.5,3.25,,,,
Canada,3,3.5-4,3.75,,,,
Canada,4,4-4.5,4.25,,,,
Canada,5,4.5-5,4.75,,,,
Cape Verde,7,6.25-7.25,6.75,,,,
Cayman Is.,4,4-4.5,4.25,,,,
Cayman Is.,5,4.5-5,4.75,,,,
Central African Republic,1,<=3,2,,,,
Central African Republic,2,3-3.5,3.25,,,,
Central African Republic,3,3.5-4,3.75,,,,
Central African Republic,4,4-4.5,4.25,,,,
Central African Republic,5,4.5-5,4.75,,,,
Central African Republic,6,5-6.25,5.625,,,,
Chad,10,>7.75,9,,,,
Chad,3,3.5-4,3.75,,,,
Chad,4,4-4.5,4.25,,,,
Chad,5,4.5-5,4.75,,,,
Chad,6,5-6.25,5.625,,,,
Chad,7,6.25-7.25,6.75,,,,
