Country,Year,Average Temperature per Year,Consumption Levels
Albania,1971,12.53,532.03
Albania,1972,12.61,568.4
Albania,1973,12.49,593.45
Albania,1974,12.56,591.03
Albania,1975,12.57,739.35
Albania,1976,12.04,908.67
Albania,1977,13.22,1067.81
Albania,1978,12.26,1098.48
Albania,1979,12.99,1065.77
Albania,1980,12.16,1142.97
Albania,1981,12.58,1123.97
Albania,1982,13.02,1096.87
Albania,1983,12.51,1070.69
Albania,1984,12.64,1018.1
Albania,1985,12.95,796.35
Albania,1986,13.06,1420.61
Albania,1987,13.0,1161.95
Albania,1988,13.04,1005.94
Albania,1989,12.8,1021.39
Albania,1990,13.47,552.25
Albania,1991,12.34,418.45
Albania,1992,13.08,453.64
Albania,1993,13.12,536.36
Albania,1994,14.1,596.41
Albania,1995,12.78,663.78
Albania,1996,12.74,904.35
Albania,1997,12.9,694.66
Albania,1998,13.31,734.85
Albania,1999,13.65,1414.7
Albania,2000,13.75,1449.65
Albania,2001,13.69,1351.23
Albania,2002,13.56,1578.17
Albania,2003,13.63,1469.26
Albania,2004,13.26,1797.53
Albania,2005,12.75,1722.07
Albania,2006,12.98,1218.36
Albania,2007,13.89,1213.12
Albania,2008,13.96,1617.74
Albania,2009,13.84,1835.68
Albania,2010,13.78,1943.34
Albania,2011,13.44,2205.7
Albania,2012,13.77,2118.33
Albania,2013,14.99,2533.25
Algeria,1971,22.67,141.1
Algeria,1972,22.7,151.25
Algeria,1973,22.89,168.67
Algeria,1974,22.54,181.87
Algeria,1975,22.72,206.68
Algeria,1976,22.36,227.87
Algeria,1977,23.55,239.23
Algeria,1978,23.16,286.4
Algeria,1979,23.4,322.89
Algeria,1980,23.16,338.81
Algeria,1981,23.58,372.33
Algeria,1982,23.09,415.25
Algeria,1983,23.68,425.97
Algeria,1984,23.06,448.92
Algeria,1985,23.53,472.78
Algeria,1986,23.26,489.94
Algeria,1987,24.25,459.04
Algeria,1988,23.82,485.87
Algeria,1989,23.72,526.69
Algeria,1990,24.01,536.6
Algeria,1991,23.01,537.92
Algeria,1992,22.77,565.64
Algeria,1993,23.45,553.62
Algeria,1994,23.64,556.43
Algeria,1995,23.72,565.42
Algeria,1996,23.73,576.06
Algeria,1997,23.96,580.91
Algeria,1998,23.92,624.03
Algeria,1999,24.3,658.77
Algeria,2000,24.03,689.24
Algeria,2001,24.72,714.79
Algeria,2002,24.26,736.13
Algeria,2003,24.39,791.52
Algeria,2004,23.92,808.61
Algeria,2005,24.22,895.84
Algeria,2006,24.2,867.74
Algeria,2007,24.07,899.1
Algeria,2008,23.95,951.7
Algeria,2009,24.15,869.7
Algeria,2010,25.22,1020.07
Algeria,2011,24.14,1126.96
Algeria,2012,23.95,1242.06
Algeria,2013,25.12,1283.61
Angola,1971,21.84,90.01
Angola,1972,22.01,98.67
Angola,1973,22.35,112.19
Angola,1974,21.62,135.54
Angola,1975,21.74,139.21
Angola,1976,21.45,60.41
Angola,1977,21.95,58.44
Angola,1978,21.82,56.49
Angola,1979,22.14,58.68
Angola,1980,22.08,60.74
Angola,1981,22.03,58.62
Angola,1982,21.82,60.35
Angola,1983,22.37,63.28
Angola,1984,22.36,52.2
Angola,1985,22.02,60.58
Angola,1986,22.04,58.46
Angola,1987,22.75,56.76
Angola,1988,22.41,55.24
Angola,1989,22.12,53.67
Angola,1990,22.47,53.26
Angola,1991,22.1,54.54
Angola,1992,22.5,53.59
Angola,1993,22.29,52.15
Angola,1994,22.19,50.81
Angola,1995,22.94,49.38
Angola,1996,22.48,51.17
Angola,1997,22.32,69.33
Angola,1998,23.12,73.27
Angola,1999,22.38,71.89
Angola,2000,22.36,75.27
Angola,2001,22.5,82.64
Angola,2002,22.93,86.03
Angola,2003,23.07,95.84
Angola,2004,22.57,87.47
Angola,2005,22.97,109.2
Angola,2006,21.95,144.63
Angola,2007,22.43,133.24
Angola,2008,22.29,172.42
Angola,2009,22.32,189.31
Angola,2010,22.68,206.38
Angola,2011,22.03,206.69
Angola,2012,22.12,218.55
Angola,2013,22.51,278.81
Argentina,1971,14.65,875.77
Argentina,1972,14.82,926.84
Argentina,1973,14.6,963.65
Argentina,1974,14.64,993.72
Argentina,1975,14.94,1011.61
Argentina,1976,14.44,1031.48
Argentina,1977,15.35,1079.63
Argentina,1978,15.19,1089.99
Argentina,1979,14.97,1212.18
Argentina,1980,15.23,1237.94
Argentina,1981,15.17,1192.01
Argentina,1982,15.26,1203.31
Argentina,1983,14.95,1254.24
Argentina,1984,14.4,1296.65
Argentina,1985,15.33,1285.86
Argentina,1986,15.33,1328.23
Argentina,1987,15.19,1412.4
Argentina,1988,14.84,1451.3
Argentina,1989,15.54,1319.63
Argentina,1990,15.16,1303.22
Argentina,1991,15.1,1346.5
Argentina,1992,14.74,1408.74
Argentina,1993,15.1,1494.39
Argentina,1994,15.58,1572.83
Argentina,1995,15.15,1643.33
Argentina,1996,15.21,1721.14
Argentina,1997,15.62,1839.82
Argentina,1998,15.26,1958.04
Argentina,1999,15.06,2023.46
Argentina,2000,14.75,2077.54
Argentina,2001,15.37,2108.99
Argentina,2002,15.18,2003.67
Argentina,2003,15.52,2169.49
Argentina,2004,15.44,2282.82
