Country,Year,GDP in 2021 US$,Solar Energy Costs
Australia,2011,62596.4321748915,6777.0
Australia,2012,68044.714816234,4908.0
Australia,2013,68158.5797427053,2881.0
Australia,2014,62513.4112171122,3007.0
Australia,2015,56710.4457244504,2236.0
Australia,2016,49875.5651433836,1925.0
Australia,2017,53936.1402549903,1971.0
Australia,2018,57207.8715094806,1520.0
Australia,2019,54941.4341793948,1236.0
China,2011,5614.35213522574,3417.0
China,2012,6300.61511825789,2742.0
China,2013,7020.33848453658,2117.0
China,2014,7636.11660125265,1763.0
China,2015,8016.43143498352,1362.0
China,2016,8094.36336674652,1233.0
China,2017,8816.98690451883,1157.0
China,2018,9905.34200388822,879.0
China,2019,10143.8381955585,794.0
Germany,2011,46705.8957963353,2959.0
Germany,2012,43855.8544658618,2341.0
Germany,2013,46298.9229177341,2007.0
Germany,2014,48023.8699845462,1600.0
Germany,2015,41103.2564363768,1280.0
Germany,2016,42136.1207907991,1162.0
Germany,2017,44652.5891722719,1114.0
Germany,2018,47939.2782884504,1113.0
Germany,2019,46793.6867616004,899.0
Spain,2011,31677.9003083652,3263.0
Spain,2012,28322.9465923276,2688.0
Spain,2013,29077.1820557563,2310.0
Spain,2014,29513.6511800405,2316.0
Spain,2015,25754.36102944,1195.0
Spain,2019,29581.5185513299,766.0
France,2011,43846.4660764798,5592.0
France,2012,40870.8523645734,5153.0
France,2013,42602.7179652667,3245.0
France,2014,43068.5487241739,2369.0
France,2015,36652.9223052178,1559.0
France,2016,37062.5335723829,1320.0
France,2017,38781.0494870836,1240.0
France,2018,41557.8548588876,1074.0
France,2019,40494.8982936276,979.0
India,2011,1449.60178853415,3112.0
India,2012,1434.01819806113,2730.0
India,2013,1438.05748041006,2810.0
India,2014,1559.86451848257,1907.0
India,2015,1590.17391842781,1300.0
India,2016,1714.28035526737,1119.0
India,2017,1957.968841235,1116.0
India,2018,1974.37778792366,793.0
India,2019,2047.23270433512,618.0
Italy,2011,38649.6394836789,4876.0
Italy,2012,35051.5212697703,2571.0
Italy,2013,35560.0814062288,2035.0
Italy,2014,35565.7213771496,1972.0
Italy,2017,32406.7203150134,972.0
Italy,2018,34622.1696664741,870.0
Italy,2019,33673.7509627421,830.0
Japan,2011,48760.0789494211,5431.0
Japan,2012,49145.2804308193,3918.0
Japan,2013,40898.6478964744,3348.0
Japan,2014,38475.3952461838,3069.0
Japan,2015,34960.6393843385,2221.0
Japan,2016,39375.4731620781,2437.0
Japan,2017,38834.0529341227,2210.0
Japan,2018,39727.1165995928,2101.0
Japan,2019,40458.0018755824,2070.0
Netherlands,2016,46039.1059284098,1147.0
Netherlands,2017,48675.2223350213,1548.0
Netherlands,2018,53044.5324352253,1168.0
Netherlands,2019,52476.2732533327,1121.0
Ukraine,2011,3704.82495117188,4922.0
Ukraine,2013,4187.73974609375,4012.0
Ukraine,2017,2638.326171875,1225.0
Ukraine,2018,3096.56176757813,1344.0
Ukraine,2019,3661.45629882813,874.0
Vietnam,2016,2760.71710527049,2249.0
Vietnam,2017,2992.07174150097,2869.0
Vietnam,2019,3491.09127354876,1054.0
