1,Recorded_Data,Week,Levels
2,Binance searches in Lebanon,01/12/2019,0
3,Binance searches in Lebanon,08/12/2019,0
4,Binance searches in Lebanon,15/12/2019,0
5,Binance searches in Lebanon,22/12/2019,0
6,Binance searches in Lebanon,29/12/2019,28
7,Binance searches in Lebanon,05/01/2020,0
8,Binance searches in Lebanon,12/01/2020,0
9,Binance searches in Lebanon,19/01/2020,0
10,Binance searches in Lebanon,26/01/2020,0
11,Binance searches in Lebanon,02/02/2020,0
12,Binance searches in Lebanon,09/02/2020,0
13,Binance searches in Lebanon,16/02/2020,0
14,Binance searches in Lebanon,23/02/2020,0
15,Binance searches in Lebanon,01/03/2020,0
16,Binance searches in Lebanon,08/03/2020,0
17,Binance searches in Lebanon,15/03/2020,0
18,Binance searches in Lebanon,22/03/2020,0
19,Binance searches in Lebanon,29/03/2020,29
20,Binance searches in Lebanon,05/04/2020,0
21,Binance searches in Lebanon,12/04/2020,0
22,Binance searches in Lebanon,19/04/2020,0
23,Binance searches in Lebanon,26/04/2020,0
24,Binance searches in Lebanon,03/05/2020,0
25,Binance searches in Lebanon,10/05/2020,0
26,Binance searches in Lebanon,17/05/2020,77
27,Binance searches in Lebanon,24/05/2020,0
28,Binance searches in Lebanon,31/05/2020,66
29,Binance searches in Lebanon,07/06/2020,28
30,Binance searches in Lebanon,14/06/2020,0
31,Binance searches in Lebanon,21/06/2020,0
32,Binance searches in Lebanon,28/06/2020,0
33,Binance searches in Lebanon,05/07/2020,0
34,Binance searches in Lebanon,12/07/2020,0
35,Binance searches in Lebanon,19/07/2020,0
36,Binance searches in Lebanon,26/07/2020,32
37,Binance searches in Lebanon,02/08/2020,0
38,Binance searches in Lebanon,09/08/2020,0
39,Binance searches in Lebanon,16/08/2020,0
40,Binance searches in Lebanon,23/08/2020,0
41,Binance searches in Lebanon,30/08/2020,0
42,Binance searches in Lebanon,06/09/2020,0
43,Binance searches in Lebanon,13/09/2020,0
44,Binance searches in Lebanon,20/09/2020,0
45,Binance searches in Lebanon,27/09/2020,0
46,Binance searches in Lebanon,04/10/2020,0
47,Binance searches in Lebanon,11/10/2020,0
48,Binance searches in Lebanon,18/10/2020,0
49,Binance searches in Lebanon,25/10/2020,0
50,Binance searches in Lebanon,01/11/2020,0
51,Binance searches in Lebanon,08/11/2020,0
52,Binance searches in Lebanon,15/11/2020,0
53,Binance searches in Lebanon,22/11/2020,0
54,Binance searches in Lebanon,29/11/2020,0
55,Binance searches in Lebanon,06/12/2020,0
56,Binance searches in Lebanon,13/12/2020,0
57,Binance searches in Lebanon,20/12/2020,0
58,Binance searches in Lebanon,27/12/2020,0
59,Binance searches in Lebanon,03/01/2021,97
60,Binance searches in Lebanon,10/01/2021,0
61,Binance searches in Lebanon,17/01/2021,0
62,Binance searches in Lebanon,24/01/2021,0
63,Binance searches in Lebanon,31/01/2021,0
64,Binance searches in Lebanon,07/02/2021,0
65,Binance searches in Lebanon,14/02/2021,0
66,Binance searches in Lebanon,21/02/2021,0
67,Binance searches in Lebanon,28/02/2021,0
68,Binance searches in Lebanon,07/03/2021,0
69,Binance searches in Lebanon,14/03/2021,0
70,Binance searches in Lebanon,21/03/2021,0
71,Binance searches in Lebanon,28/03/2021,0
72,Binance searches in Lebanon,04/04/2021,0
