country,latitude
Afghanistan,33.93911
Albania,41.153332
Algeria,28.033886
Andorra,42.546245
Angola,-11.202692
Argentina,-38.416097
Armenia,40.069099
Australia,-25.274398
Austria,47.516231
Azerbaijan,40.143105
Bahamas,25.03428
Bahrain,25.930414
Bangladesh,23.684994
Barbados,13.193887
Belarus,53.709807
Belgium,50.503887
Belize,17.189877
Benin,9.30769
Bhutan,27.514162
Bolivia,-16.290154
Botswana,-22.328474
Brazil,-14.235004
Brunei,4.535277
Bulgaria,42.733883
Burundi,-3.373056
Chile,-35.675147
China,35.86166
Colombia,4.570868
Comoros,-11.875001
Costa Rica,9.748917
Croatia,45.1
Cuba,21.521757
Cyprus,35.126413
Czech Republic,49.817492
Denmark,56.26392
Djibouti,11.825138
Dominica,15.414999
Dominican Republic,18.735693
Ecuador,-1.831239
Egypt,26.820553
El Salvador,13.794185
Equatorial Guinea,1.650801
Eritrea,15.179384
Estonia,58.595272
Ethiopia,9.145
Fiji,-16.578193
Finland,61.92411
France,46.227638
Gabon,-0.803689
Gambia,13.443182
Georgia,42.315407
Germany,51.165691
Ghana,7.946527
Greece,39.074208
Grenada,12.262776
Guatemala,15.783471
Guinea,9.945587
Guinea-Bissau,11.803749
Guyana,4.860416
Haiti,18.971187
Honduras,15.199999
Hungary,47.162494
Iceland,64.963051
India,20.593684
Indonesia,-0.789275
Iran,32.427908
Iraq,33.223191
Ireland,53.41291
Israel,31.046051
Italy,41.87194
Jamaica,18.109581
Japan,36.204824
Jordan,30.585164
Kazakhstan,48.019573
Kenya,-0.023559
Kiribati,-3.370417
Kosovo,42.602636
Kuwait,29.31166
Kyrgyzstan,41.20438
Laos,19.85627
Latvia,56.879635
Lebanon,33.854721
Lesotho,-29.609988
Liberia,6.428055
Libya,26.3351
Liechtenstein,47.166
Lithuania,55.169438
Luxembourg,49.815273
Madagascar,-18.766947
Malawi,-13.254308
Malaysia,4.210484
Maldives,3.202778
Mali,17.570692
Malta,35.937496
Marshall Islands,7.131474
Mauritania,21.00789
Mauritius,-20.348404
Mexico,23.634501
Micronesia,7.425554
Moldova,47.411631
Monaco,43.750298
Mongolia,46.862496
Montenegro,42.708678
Morocco,31.791702
Mozambique,-18.665695
Namibia,-22.95764
Nauru,-0.522778
Nepal,28.394857
Netherlands,52.132633
New Zealand,-40.900557
Nicaragua,12.865416
Niger,17.607789
Nigeria,9.081999
Norway,60.472024
Oman,21.512583
Pakistan,30.375321
Palau,7.51498
Panama,8.537981
Papua New Guinea,-6.314993
Paraguay,-23.442503
Peru,-9.189967
Philippines,12.879721
Poland,51.919438
Portugal,39.399872
Qatar,25.354826
Romania,45.943161
Rwanda,-1.940278
Samoa,-13.759029
San Marino,43.94236
Saudi Arabia,23.885942
Senegal,14.497401
Serbia,44.016521
Seychelles,-4.679574
Sierra Leone,8.460555
Singapore,1.352083
Slovakia,48.669026
Slovenia,46.151241
Solomon Islands,-9.64571
Somalia,5.152149
South Africa,-30.559482
Spain,40.463667
Sri Lanka,7.873054
Sudan,12.862807
Suriname,3.919305
Swaziland,-26.522503
Sweden,60.128161
Switzerland,46.818188
Syria,34.802075
Taiwan,23.69781
Tajikistan,38.861034
Tanzania,-6.369028
Thailand,15.870032
Togo,8.619543
Tonga,-21.178986
Tunisia,33.886917
Turkey,38.963745
Turkmenistan,38.969719
Tuvalu,-7.109535
Uganda,1.373333
Ukraine,48.379433
United Arab Emirates,23.424076
United Kingdom,55.378051
United States,37.09024
Uruguay,-32.522779
Uzbekistan,41.377491
Vanuatu,-15.376706
Vatican City,41.902916
Venezuela,6.42375
Vietnam,14.058324
Yemen,15.552727
Zambia,-13.133897
Zimbabwe,-19.015438
