Country Name,Electricity consumption in 2014,Average recent nitrogen dioxide emission
Algeria,1368.621519,1.1893787288956102e-05
Argentina,3074.702071,7.683916840379842e-06
Australia,10071.39898,7.737063501999587e-06
Austria,8355.841952,3.712847101424739e-05
Belgium,7709.123078,7.047021421440315e-05
Brazil,2610.999282,9.907896771108523e-06
Bulgaria,4708.927458,2.7069357817783552e-05
Canada,15588.48715,5.660116924210564e-06
Chile,3895.436156,6.655799301388465e-06
Denmark,5858.801536,3.8952701014814e-05
France,6939.943525,2.9709852233127733e-05
Greece,5062.606422,2.1541363205036657e-05
Honduras,608.1390944,9.519648403874477e-06
Hungary,3965.958233,4.038840549433174e-05
Israel,6600.89828,3.8178260223653626e-05
Italy,5002.40668,3.963380222776799e-05
Jordan,1921.107652,2.093042909265459e-05
Malaysia,4539.499326,1.0292833962361283e-05
Mexico,2186.375822,1.4206924350090217e-05
Morocco,902.9565381,1.2779331601095904e-05
Netherlands,6712.774758,7.563680095156963e-05
Pakistan,419.6845943,2.095556564909232e-05
Philippines,690.7659626,1.0422269763380672e-05
Poland,3971.799761,4.825838576805828e-05
Portugal,4662.6008,2.5431864599635607e-05
Romania,2584.411787,2.8765651096886634e-05
South Africa,4183.82749,1.901104423225813e-05
Spain,5355.987006,2.436692265810604e-05
Sweden,13480.14822,2.019930798203062e-05
Switzerland,7520.166025,3.352705752221907e-05
Thailand,2483.557147,2.0637006412588263e-05
Ukraine,3418.569317,3.2630362518137726e-05
United Arab Emirates,11562.98852,3.344137970397425e-05
