Country,Year,Solar Capacity,Solar Energy Costs
France,2011,3.0,5592
Germany,2011,25.9,2959
Italy,2011,13.1,4876
Spain,2011,4.3,3263
Turkey,2011,0.025,nan
Ukraine,2011,0.2,4922
United Kingdom,2011,1.0,5431
Australia,2011,2.5,6777
China,2011,3.1,3417
Vietnam,2011,0.025,nan
South Korea,2011,0.7,3112
France,2012,4.4,5153
Germany,2012,34.1,2341
Italy,2012,16.8,2571
Spain,2012,4.6,2688
Turkey,2012,0.025,nan
Ukraine,2012,0.4,nan
United Kingdom,2012,1.8,3918
Australia,2012,3.8,4908
China,2012,6.7,2742
Vietnam,2012,0.025,nan
South Korea,2012,1.0,2730
France,2013,5.3,3245
Germany,2013,36.7,2007
Italy,2013,18.2,2035
Spain,2013,4.7,2310
Turkey,2013,0.025,nan
Ukraine,2013,0.7,4012
United Kingdom,2013,2.9,3348
Australia,2013,4.6,2881
China,2013,17.7,2117
Vietnam,2013,0.025,nan
South Korea,2013,1.6,2810
France,2014,6.0,2369
Germany,2014,37.9,1600
Italy,2014,18.6,1972
Spain,2014,4.7,2316
Turkey,2014,0.025,nan
Ukraine,2014,0.8,nan
United Kingdom,2014,5.5,3069
Australia,2014,5.3,3007
China,2014,28.4,1763
Vietnam,2014,0.025,nan
South Korea,2014,2.5,1907
France,2015,7.1,1559
Germany,2015,39.2,1280
Italy,2015,18.9,nan
Spain,2015,4.7,1195
Turkey,2015,0.2,nan
Ukraine,2015,0.8,nan
United Kingdom,2015,9.6,2221
Australia,2015,5.9,2236
China,2015,43.5,1362
Vietnam,2015,0.025,nan
South Korea,2015,3.6,1300
France,2016,7.7,1320
Germany,2016,40.7,1162
Italy,2016,19.3,nan
Spain,2016,4.7,nan
Turkey,2016,0.8,1566
Ukraine,2016,1.0,nan
United Kingdom,2016,11.9,2437
Australia,2016,6.7,1925
China,2016,77.8,1233
Vietnam,2016,0.025,1147
South Korea,2016,4.5,1119
France,2017,8.6,1240
Germany,2017,42.3,1114
Italy,2017,19.7,0972
Spain,2017,4.7,nan
Turkey,2017,3.4,1256
Ukraine,2017,1.2,1225
United Kingdom,2017,12.8,2210
Australia,2017,7.4,1971
China,2017,130.8,1157
Vietnam,2017,0.025,1548
South Korea,2017,5.8,1116
France,2018,9.7,1074
Germany,2018,45.2,1113
Italy,2018,20.1,0870
Spain,2018,4.8,nan
Turkey,2018,5.1,1206
Ukraine,2018,2.0,1344
United Kingdom,2018,13.1,2101
Australia,2018,8.6,1520
China,2018,175.0,0879
Vietnam,2018,0.1,1168
South Korea,2018,8.1,0793
France,2019,10.8,0979
Germany,2019,48.9,0899
Italy,2019,20.9,0830
Spain,2019,8.8,0766
Turkey,2019,6.0,0921
Ukraine,2019,5.9,0874
United Kingdom,2019,13.3,2070
Australia,2019,13.0,1236
China,2019,204.6,0794
Vietnam,2019,5.0,1121
South Korea,2019,12.0,0618
