Country,Electricity consumption in 2014,Average Temperature
Albania,2309.366503,13.620140625
Algeria,1368.621519,24.278
Angola,310.0816685,22.4459296875
Argentina,3074.702071,15.282984375
Armenia,1976.864492,9.99140625
Australia,10071.39898,22.3053125
Austria,8355.841952,7.42340625
Azerbaijan,2202.393918,12.7315390625
Bahrain,19969.73612,27.3379296875
Bangladesh,317.24537,25.55565625
Belarus,3690.103683,7.295453125
Belgium,7709.123078,10.607859375
Benin,97.1281349,28.0278828125
Bolivia,728.2229062,21.3507890625
Botswana,1677.597002,22.443875
Brazil,2610.999282,25.5915546875
Bulgaria,4708.927458,11.6318046875
Cambodia,272.5034428,27.393671875
Cameroon,279.9155231,25.1786953125
Canada,15588.48715,-3.432100775193798
Chile,3895.436156,9.993703125
China,3905.317598,7.713546875
Colombia,1320.34513,25.499234375
Costa Rica,1922.883198,26.36766666666667
Croatia,3714.382988,12.541109375
Cuba,1447.666993,26.122147286821704
Cyprus,3548.868092,19.9610625
Denmark,5858.801536,-16.203203125
Dominican Republic,1597.142222,26.428317829457367
Ecuador,1375.862154,22.4976875
El Salvador,949.9919962,25.61495348837209
Eritrea,96.28621076,27.7672421875
Estonia,6732.367473,6.2186484375
Ethiopia,68.05233164,23.935296875
Finland,15249.98938,2.7441640625000003
France,6939.943525,13.8392265625
Gabon,1118.536954,24.989734375
Georgia,2693.97276,9.5404609375
Germany,7035.482975,9.336890625
Ghana,339.1927426,27.5604140625
Greece,5062.606422,15.79859375
Guatemala,601.1897311,23.8477984496124
Haiti,39.56691514,27.120007751937987
Honduras,608.1390944,25.443589147286826
Hungary,3965.958233,10.951875
Iceland,53832.47909,2.616796875
India,797.349232,24.727875
Indonesia,808.4189721,26.365796875
Iraq,1243.846759,23.184640625
Ireland,5672.064134,10.2786875
Israel,6600.89828,20.8323046875
Italy,5002.40668,13.8469296875
Jamaica,1084.917705,26.858170542635666
Japan,7819.714636,12.8830078125
Jordan,1921.107652,20.6047421875
Kazakhstan,5600.208465,6.7874140625
Kenya,167.4380987,24.92078125
Kuwait,15297.81071,26.4927421875
Latvia,3507.404521,6.68971875
Lebanon,2583.378464,18.80671875
Libya,1889.545086,23.4734453125
Lithuania,3821.14517,7.220734375
Luxembourg,13914.67845,10.2953046875
Malaysia,4539.499326,26.5898203125
Malta,4924.544019,19.529703125
Mauritius,2182.509156,24.382421875
Mexico,2186.375822,21.354937984496125
Moldova,1725.094172,10.3366328125
Mongolia,2032.159729,0.6159140625
Montenegro,4612.34139,11.255875
Morocco,902.9565381,18.7857421875
Mozambique,483.4726029,24.2386328125
Namibia,1674.988107,21.1343671875
Nepal,143.5068381,15.6830703125
Netherlands,6712.774758,10.6577109375
New Zealand,9012.731097,10.9634609375
Nicaragua,562.2776901,26.73462015503876
Niger,50.84654595,28.5105703125
Nigeria,142.1292221,27.669546875
Norway,22999.9346,1.486296875
Oman,6474.500202,28.1800625
Pakistan,419.6845943,21.7084453125
Panama,2070.822489,27.062515625
Paraguay,1682.066869,23.9327890625
Peru,1334.192046,20.391328125
Philippines,690.7659626,27.0977578125
Poland,3971.799761,8.701585937499999
Portugal,4662.6008,15.6608828125
Qatar,16415.25154,28.24621875
Romania,2584.411787,10.0102421875
Saudi Arabia,9047.685513,26.8149296875
Senegal,232.7078258,28.8258671875
Serbia,4271.744667,11.115265625
Singapore,8844.687593,27.3491875
Slovenia,6727.999302,10.896328125
South Africa,4183.82749,17.928796875
Spain,5355.987006,14.6526328125
Sri Lanka,531.0905766,27.7245546875
Sudan,263.5174293,28.0048125
Suriname,3493.176895,27.14725
Sweden,13480.14822,3.7018125
Switzerland,7520.166025,8.1633125
Tajikistan,1486.245831,5.323609375
Tanzania,101.9393027,23.10615625
Thailand,2483.557147,26.7882109375
Togo,151.4739278,27.7036796875
Tunisia,1408.091103,21.2536328125
Turkmenistan,2585.662543,16.406796875
Ukraine,3418.569317,9.21525
United Arab Emirates,11562.98852,29.1713515625
United Kingdom,5130.390253,9.470171875
United States,12993.96558,9.767922480620156
Uruguay,3093.173789,17.9242109375
Uzbekistan,1645.441629,13.8535234375
Vietnam,1431.164341,24.373046875
Zambia,701.940863,21.8845
Zimbabwe,597.2970217,21.6370390625
