Country code,Year,%Electricity generated from Solar energy
AFG,2000,0.0
AFG,2001,0.0
AFG,2002,0.0
AFG,2003,0.0
AFG,2004,0.0
AFG,2005,0.0
AFG,2006,0.0
AFG,2007,0.0
AFG,2008,0.0
AFG,2009,0.0
AFG,2010,0.0
AFG,2011,0.0
AFG,2012,3.41
AFG,2013,2.7
AFG,2014,2.59
AFG,2015,2.54
AFG,2016,3.31
AFG,2017,3.15
AFG,2018,3.42
AFG,2019,4.67
AFG,2020,7.5
AFG,2021,9.64
ALB,2000,0.0
ALB,2001,0.0
ALB,2002,0.0
ALB,2003,0.0
ALB,2004,0.0
ALB,2005,0.0
ALB,2006,0.0
ALB,2007,0.0
ALB,2008,0.0
ALB,2009,0.0
ALB,2010,0.0
ALB,2011,0.0
ALB,2012,0.0
ALB,2013,0.0
ALB,2014,0.0
ALB,2015,0.0
ALB,2016,0.0
ALB,2017,0.0
ALB,2018,0.0
ALB,2019,0.38
ALB,2020,0.56
DZA,2000,0.0
DZA,2001,0.0
DZA,2002,0.0
DZA,2003,0.0
DZA,2004,0.0
DZA,2005,0.0
DZA,2006,0.0
DZA,2007,0.0
DZA,2008,0.0
DZA,2009,0.0
DZA,2010,0.0
DZA,2011,0.0
DZA,2012,0.0
DZA,2013,0.0
DZA,2014,0.0
DZA,2015,0.09
DZA,2016,0.13
DZA,2017,0.8
DZA,2018,0.9
DZA,2019,0.89
DZA,2020,0.91
DZA,2021,1.04
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ASM,2020,0.0
ASM,2021,0.0
AGO,2000,0.0
AGO,2001,0.0
AGO,2002,0.0
AGO,2003,0.0
AGO,2004,0.0
AGO,2005,0.0
AGO,2006,0.0
AGO,2007,0.0
AGO,2008,0.0
AGO,2009,0.0
AGO,2010,0.19
AGO,2011,0.18
AGO,2012,0.17
AGO,2013,0.13
AGO,2014,0.22
AGO,2015,0.21
AGO,2016,0.2
AGO,2017,0.19
AGO,2018,0.16
AGO,2019,0.13
AGO,2020,0.12
AGO,2021,0.12
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,3.03
ATG,2016,0.0
ATG,2017,3.03
ATG,2018,3.03
ATG,2019,2.94
ATG,2020,6.06
ATG,2021,5.71
ARG,2000,0.0
ARG,2001,0.0
ARG,2002,0.0
ARG,2003,0.0
ARG,2004,0.0
ARG,2005,0.0
ARG,2006,0.0
ARG,2007,0.0
ARG,2008,0.0
ARG,2009,0.0
ARG,2010,0.0
ARG,2011,0.0
ARG,2012,0.01
ARG,2013,0.01
ARG,2014,0.02
ARG,2015,0.01
ARG,2016,0.01
ARG,2017,0.01
ARG,2018,0.08
ARG,2019,0.59
ARG,2020,0.96
ARG,2021,1.48
ARM,2000,0.0
ARM,2001,0.0
