Country code,%Electricity generated from Solar energy in 2021
AFG,9.64
DZA,1.04
ASM,0.0
AGO,0.12
ATG,5.71
ARG,1.48
ARM,1.23
ABW,1.08
AUS,11.35
AUT,3.1
AZE,0.19
BHS,0.0
BHR,0.03
BGD,0.58
BRB,7.48
BLR,0.41
BEL,5.59
BLZ,1.56
BEN,4.17
BMU,
BTN,0.0
BOL,4.44
BIH,0.4
BWA,0.46
BRA,2.53
BRN,0.0
BGR,3.13
BFA,6.86
BDI,2.78
CPV,2.22
KHM,4.26
CMR,0.25
CAN,0.82
CYM,2.74
CAF,0.0
TCD,0.0
CHL,13.24
CHN,3.85
COL,0.4
COM,0.0
COD,0.09
COG,0.0
COK,40.0
CRI,0.47
CIV,0.09
HRV,0.66
CUB,1.32
CYP,8.93
CZE,2.78
DNK,4.01
DJI,0.0
DMA,0.0
DOM,3.01
ECU,0.12
EGY,2.37
SLV,16.92
GNQ,0.0
ERI,2.22
EST,4.18
SWZ,0.0
ETH,0.27
FLK,0.0
FRO,0.0
FJI,0.88
FIN,0.39
FRA,2.67
PYF,7.14
GAB,0.0
GMB,0.0
GEO,0.0
DEU,8.55
GHA,0.29
GIB,
GRC,8.89
GRL,0.0
GRD,0.0
GUM,4.4
GTM,1.59
GIN,0.72
GNB,0.0
GUY,0.81
HTI,0.0
HND,10.69
HKG,0.06
HUN,9.18
IND,3.99
IDN,0.06
IRN,0.18
IRQ,0.39
IRL,0.19
ISR,6.35
ITA,8.64
JAM,3.45
JPN,9.25
JOR,16.0
KAZ,2.59
KEN,0.85
KIR,0.0
PRK,0.14
KWT,0.03
KGZ,0.0
LAO,0.1
LVA,0.0
LBN,0.58
LSO,0.0
LBR,0.0
LBY,0.03
LTU,4.29
LUX,17.91
MAC,0.0
MDG,0.96
MWI,11.97
MYS,0.86
MDV,7.58
MLI,0.88
MLT,9.59
MTQ,
MRT,7.45
MUS,5.56
MEX,4.2
MDA,0.15
MNG,1.97
MNE,0.0
MSR,0.0
MAR,4.41
MOZ,0.35
MMR,0.45
NAM,24.2
NRU,0.0
NPL,1.8
NLD,9.4
NCL,5.36
NZL,0.46
NIC,0.65
NER,11.11
NGA,0.16
NIU,
MKD,0.51
NOR,0.02
OMN,0.44
PAK,0.84
PSE,23.26
PAN,3.75
PNG,0.0
PRY,0.0
PER,1.41
PHL,1.39
POL,2.16
PRT,4.47
PRI,1.48
QAT,0.02
ROU,2.87
RUS,0.21
RWA,7.06
SHN,
KNA,0.0
LCA,0.0
SPM,0.0
VCT,0.0
WSM,11.76
STP,0.0
SAU,0.23
SEN,8.38
SRB,0.03
SYC,10.77
SLE,4.76
SGP,1.25
SVK,2.16
SVN,2.44
SLB,0.0
SOM,7.32
ZAF,2.98
KOR,4.07
SSD,1.75
ESP,9.69
LKA,3.3
SDN,0.18
SUR,0.99
SWE,0.61
CHE,4.76
SYR,0.0
TWN,2.77
TJK,0.0
TZA,0.73
THA,2.3
TLS,0.0
TGO,3.17
TON,12.5
TTO,0.11
TUN,1.96
TUR,3.92
TKM,0.0
TCA,0.0
UGA,3.41
UKR,3.84
ARE,4.93
GBR,4.06
USA,3.96
URY,3.03
UZB,0.02
VUT,14.29
VEN,0.01
VNM,4.79
VGB,0.0
VIR,2.86
ESH,
YEM,17.05
ZMB,0.85
ZWE,0.5
