Country Name,Average recent methane emission,%Electricity generated from Solar energy in 2021
Algeria,1871.8486876839083,1.04
Argentina,1804.2209452375716,1.48
Australia,1818.3006765274224,11.35
Austria,1862.0643485175565,3.1
Belgium,1860.0649977949208,5.59
Brazil,1844.5379172183327,2.53
Bulgaria,1868.9262015433685,3.13
Canada,1861.8707061547425,0.82
Chile,1809.8107960969612,13.24
Denmark,1860.58116752556,4.01
Egypt,1876.489400107868,2.37
France,1862.1405644520285,2.67
Greece,1872.6594008097916,8.89
Honduras,1872.844161033507,10.69
Hungary,1863.919707672562,9.18
Israel,1879.4730419446832,6.35
Italy,1874.2959598585212,8.64
Jordan,1876.4157182289723,16.0
Malaysia,1870.546685506332,0.86
Mexico,1867.5412174120324,4.2
Morocco,1879.6893988948668,4.41
Netherlands,1865.6324006410132,9.4
Pakistan,1894.022529411177,0.84
Philippines,1876.3182301055408,1.39
Poland,1855.0474204098225,2.16
Portugal,1865.13120276275,4.47
Romania,1865.1081372861956,2.87
Slovakia,1859.0372598378324,2.16
South Africa,1813.262748057478,2.98
Spain,1868.2783647723595,9.69
Sweden,1836.0656330684008,0.61
Switzerland,1863.9443293775128,4.76
Thailand,1899.5030709138357,2.3
Turkey,1873.0897335535565,3.92
Ukraine,1864.182686199554,3.84
United Arab Emirates,1896.8456021570764,4.93
