Country Name,Average recent methane emission,Average Solar Capacity 2018-2021
Algeria,1871.8486876839083,0.4
Argentina,1804.2209452375714,0.625
Australia,1818.3006765274222,14.500000000000002
Austria,1862.0643485175565,1.975
Belgium,1860.0649977949208,5.199999999999999
Brazil,1844.5379172183327,7.0
Bulgaria,1868.9262015433685,1.075
Canada,1861.8707061547425,3.3249999999999997
Chile,1809.8107960969614,3.1
Czech Republic,1856.1083343892303,2.1
Denmark,1860.5811675255602,1.225
Egypt,1876.4894001078676,1.425
France,1862.1405644520285,11.8
Greece,1872.6594008097914,3.075
Honduras,1872.844161033507,0.5
Hungary,1863.919707672562,1.5749999999999997
Israel,1879.4730419446832,1.9000000000000001
Italy,1874.2959598585214,21.35
Jordan,1876.4157182289723,1.2
Malaysia,1870.5466855063316,1.175
Mexico,1867.5412174120324,4.75
Morocco,1879.6893988948668,0.2
Netherlands,1865.6324006410134,9.225000000000001
Pakistan,1894.022529411177,0.875
Philippines,1876.3182301055408,1.1
Poland,1855.0474204098225,3.0999999999999996
Portugal,1865.13120276275,1.125
Romania,1865.1081372861954,1.4
Russia,1862.9643016252749,1.225
Slovakia,1859.0372598378324,0.525
South Africa,1813.2627480574781,5.0
South Korea,1885.4897366373116,13.225000000000001
Spain,1868.2783647723593,9.375
Sweden,1836.0656330684008,0.9500000000000001
Switzerland,1863.9443293775128,2.775
Taiwan,1897.4367231003139,5.075
Thailand,1899.5030709138355,3.0
Turkey,1873.0897335535565,6.4
Ukraine,1864.182686199554,5.824999999999999
United Arab Emirates,1896.8456021570764,1.775
United Kingdom,1859.0444999443425,13.399999999999999
