Country Name,Average recent nitrogen dioxide emission
Algeria,1.1893787288956102e-05
Argentina,7.683916840379842e-06
Australia,7.737063501999587e-06
Austria,3.712847101424739e-05
Belgium,7.047021421440315e-05
Brazil,9.907896771108525e-06
Bulgaria,2.7069357817783552e-05
Canada,5.660116924210564e-06
Chile,6.655799301388465e-06
Denmark,3.8952701014814e-05
France,2.9709852233127733e-05
Greece,2.1541363205036657e-05
Honduras,9.519648403874477e-06
Hungary,4.038840549433174e-05
Israel,3.8178260223653626e-05
Italy,3.9633802227767985e-05
Jordan,2.093042909265459e-05
Malaysia,1.0292833962361283e-05
Mexico,1.4206924350090215e-05
Morocco,1.2779331601095904e-05
Netherlands,7.563680095156963e-05
Pakistan,2.095556564909232e-05
Philippines,1.0422269763380672e-05
Poland,4.8258385768058276e-05
Portugal,2.5431864599635607e-05
Romania,2.8765651096886634e-05
Slovakia,4.225905435225545e-05
South Africa,1.901104423225813e-05
Spain,2.436692265810604e-05
Sweden,2.019930798203062e-05
Switzerland,3.352705752221907e-05
Thailand,2.0637006412588263e-05
Turkey,2.3132660388154637e-05
Ukraine,3.2630362518137726e-05
United Arab Emirates,3.344137970397425e-05
