Country,Average Temperature
Afghanistan,15.3462734375
Albania,13.620140625000001
Algeria,24.278
Andorra,12.29459375
Angola,22.4459296875
Argentina,15.282984375
Armenia,9.99140625
Australia,22.3053125
Austria,7.42340625
Azerbaijan,12.7315390625
Bahamas,25.842674418604652
Bahrain,27.3379296875
Bangladesh,25.555656250000002
Barbados,27.402140625
Belarus,7.295453125
Belgium,10.607859375
Belize,25.792333333333335
Benin,28.0278828125
Bhutan,12.6118125
Bolivia,21.350789062500002
Botswana,22.443875000000002
Brazil,25.5915546875
Bulgaria,11.6318046875
Burkina Faso,28.983453125
Burundi,20.8678828125
Cambodia,27.393671875
Cameroon,25.1786953125
Canada,-3.432100775193798
Cape Verde,25.0200859375
Central African Republic,26.092640625
Chad,28.043265625
Chile,9.993703125
China,7.713546875
Colombia,25.499234375
Comoros,26.516796875
Congo,25.178953125
Costa Rica,26.36766666666667
Croatia,12.541109375
Cuba,26.122147286821704
Cyprus,19.9610625
Czech Republic,8.8623359375
Denmark,-16.203203125
Djibouti,29.813296875
Dominica,27.058328125
Dominican Republic,26.428317829457367
Ecuador,22.4976875
Egypt,23.7986015625
El Salvador,25.614953488372095
Equatorial Guinea,25.692328125
Eritrea,27.7672421875
Estonia,6.2186484375
Ethiopia,23.935296875
Fiji,25.6552578125
Finland,2.7441640625000003
France,13.8392265625
Gabon,24.989734375
Gambia,28.3678203125
Georgia,9.5404609375
Germany,9.336890625
Ghana,27.5604140625
Greece,15.79859375
Greenland,-16.7221484375
Grenada,27.67878125
Guatemala,23.8477984496124
Guinea,26.3594140625
Guyana,26.8673671875
Haiti,27.120007751937987
Honduras,25.443589147286822
Hungary,10.951875000000001
Iceland,2.616796875
India,24.727875
Indonesia,26.365796875
Iran,19.1716640625
Iraq,23.184640625
Ireland,10.2786875
Israel,20.8323046875
Italy,13.8469296875
Jamaica,26.858170542635662
Japan,12.8830078125
Jordan,20.6047421875
Kazakhstan,6.7874140625
Kenya,24.92078125
Kiribati,27.500796875
Kuwait,26.4927421875
Kyrgyzstan,4.5971874999999995
Laos,24.3283828125
Latvia,6.68971875
Lebanon,18.80671875
Lesotho,14.3850625
Liberia,26.3003828125
Libya,23.4734453125
Liechtenstein,5.804328125
Lithuania,7.220734375
Luxembourg,10.2953046875
Macedonia,11.454875
Madagascar,23.5393671875
Malawi,22.118375
Malaysia,26.589820312500002
Mali,29.356789062500003
Malta,19.529703125
Mauritania,28.6038203125
Mauritius,24.382421875000002
Mexico,21.354937984496125
Moldova,10.3366328125
Monaco,10.180578125
Mongolia,0.6159140625
Montenegro,11.255875
Morocco,18.785742187500002
Mozambique,24.2386328125
Namibia,21.1343671875
Nepal,15.6830703125
Netherlands,10.657710937500001
New Zealand,10.9634609375
Nicaragua,26.734620155038762
Niger,28.5105703125
Nigeria,27.669546875
Norway,1.4862968749999999
Oman,28.180062500000002
Pakistan,21.7084453125
Palau,27.7337265625
Panama,27.062515625
Papua New Guinea,24.9298515625
Paraguay,23.9327890625
Peru,20.391328125
Philippines,27.0977578125
Poland,8.701585937499999
Portugal,15.6608828125
Qatar,28.24621875
Romania,10.0102421875
Russia,-3.8258593750000003
Rwanda,20.0338046875
Samoa,26.9540703125
San Marino,14.9931640625
Saudi Arabia,26.8149296875
Senegal,28.825867187500002
Serbia,11.115265625
Seychelles,27.587117187500002
Sierra Leone,26.931
Singapore,27.3491875
Slovakia,8.739859375
Slovenia,10.896328125
Solomon Islands,27.2985390625
Somalia,27.8024921875
South Africa,17.928796875
Spain,14.6526328125
Sri Lanka,27.7245546875
Sudan,28.0048125
Suriname,27.14725
Swaziland,19.5341484375
Sweden,3.7018125
Switzerland,8.1633125
Syria,19.161804687500002
Taiwan,22.757453125
Tajikistan,5.323609375
Tanzania,23.10615625
Thailand,26.7882109375
Togo,27.7036796875
Tonga,23.9031171875
Tunisia,21.2536328125
Turkey,12.770078125000001
Turkmenistan,16.406796875
Uganda,23.8088203125
Ukraine,9.21525
United Arab Emirates,29.1713515625
United Kingdom,9.470171875
United States,9.767922480620156
Uruguay,17.9242109375
Uzbekistan,13.8535234375
Venezuela,25.881953125
Vietnam,24.373046875
Yemen,27.3198125
Zambia,21.8845
Zimbabwe,21.6370390625
