Week,Binance searches in Lebanon,Inflation rate searches in Lebanon
01/12/2019,0,0
08/12/2019,0,0
15/12/2019,0,0
22/12/2019,0,0
29/12/2019,28,0
05/01/2020,0,0
12/01/2020,0,0
19/01/2020,0,41
26/01/2020,0,0
02/02/2020,0,0
09/02/2020,0,0
16/02/2020,0,53
23/02/2020,0,0
01/03/2020,0,0
08/03/2020,0,0
15/03/2020,0,0
22/03/2020,0,0
29/03/2020,29,0
05/04/2020,0,0
12/04/2020,0,0
19/04/2020,0,0
26/04/2020,0,75
03/05/2020,0,0
10/05/2020,0,79
17/05/2020,77,72
24/05/2020,0,0
31/05/2020,66,0
07/06/2020,28,0
14/06/2020,0,0
21/06/2020,0,0
28/06/2020,0,0
05/07/2020,0,0
12/07/2020,0,0
19/07/2020,0,0
26/07/2020,32,0
02/08/2020,0,0
09/08/2020,0,0
16/08/2020,0,38
23/08/2020,0,0
30/08/2020,0,0
06/09/2020,0,0
13/09/2020,0,0
20/09/2020,0,0
27/09/2020,0,0
04/10/2020,0,0
11/10/2020,0,0
18/10/2020,0,0
25/10/2020,0,0
01/11/2020,0,0
08/11/2020,0,0
15/11/2020,0,0
22/11/2020,0,0
29/11/2020,0,0
06/12/2020,0,0
13/12/2020,0,0
20/12/2020,0,47
27/12/2020,0,0
03/01/2021,97,0
10/01/2021,0,0
17/01/2021,0,37
24/01/2021,0,31
31/01/2021,0,0
07/02/2021,0,0
14/02/2021,0,0
21/02/2021,0,0
28/02/2021,0,0
07/03/2021,0,0
14/03/2021,0,0
21/03/2021,0,0
28/03/2021,0,0
04/04/2021,0,0
11/04/2021,0,0
18/04/2021,0,0
25/04/2021,95,29
02/05/2021,0,0
09/05/2021,0,0
16/05/2021,0,0
23/05/2021,30,0
30/05/2021,0,0
06/06/2021,31,0
13/06/2021,0,0
20/06/2021,0,0
27/06/2021,0,0
04/07/2021,0,0
11/07/2021,0,0
18/07/2021,0,0
25/07/2021,0,0
01/08/2021,0,0
08/08/2021,0,0
15/08/2021,0,0
22/08/2021,0,0
29/08/2021,0,0
05/09/2021,0,0
12/09/2021,0,100
19/09/2021,0,0
26/09/2021,40,0
03/10/2021,0,0
10/10/2021,0,0
17/10/2021,0,0
24/10/2021,0,0
31/10/2021,0,0
07/11/2021,34,0
14/11/2021,0,0
21/11/2021,0,0
28/11/2021,0,0
05/12/2021,61,0
12/12/2021,83,0
19/12/2021,0,45
26/12/2021,0,0
02/01/2022,0,0
09/01/2022,0,0
16/01/2022,0,0
23/01/2022,0,0
30/01/2022,0,0
06/02/2022,0,0
13/02/2022,33,0
20/02/2022,0,0
27/02/2022,0,96
06/03/2022,0,39
13/03/2022,0,0
20/03/2022,0,0
27/03/2022,0,0
03/04/2022,0,35
10/04/2022,0,0
17/04/2022,0,0
24/04/2022,0,46
01/05/2022,0,0
08/05/2022,0,0
15/05/2022,0,0
22/05/2022,0,0
29/05/2022,31,0
05/06/2022,0,0
12/06/2022,0,0
19/06/2022,0,0
26/06/2022,0,0
03/07/2022,0,0
10/07/2022,34,0
17/07/2022,0,0
24/07/2022,0,0
31/07/2022,0,0
07/08/2022,0,0
14/08/2022,0,0
21/08/2022,0,0
28/08/2022,0,0
04/09/2022,0,0
11/09/2022,0,0
18/09/2022,0,41
25/09/2022,0,0
02/10/2022,0,0
09/10/2022,0,0
16/10/2022,0,0
23/10/2022,0,0
30/10/2022,0,71
06/11/2022,0,0
13/11/2022,23,0
20/11/2022,41,0
