Week,Bitcoin searches worldwide,BTC-USD,,,,,,,
01/12/2019,16,7424.036133,,,,,,,
08/12/2019,11,7561.79541,,,,,,,
15/12/2019,18,7153.663086,,,,,,,
22/12/2019,14,7508.902344,,,,,,,
29/12/2019,14,7420.272949,,,,,,,
05/01/2020,19,7410.452148,,,,,,,
12/01/2020,18,8189.771973,,,,,,,
19/01/2020,15,8704.631836,,,,,,,
26/01/2020,15,8597.308594,,,,,,,
02/02/2020,19,9344.683594,,,,,,,
09/02/2020,20,10115.55957,,,,,,,
16/02/2020,19,9936.560547,,,,,,,
23/02/2020,15,9921.583008,,,,,,,
01/03/2020,15,8563.264648,,,,,,,
08/03/2020,23,8111.146484,,,,,,,
15/03/2020,15,5385.229492,,,,,,,
22/03/2020,13,5831.374512,,,,,,,
29/03/2020,12,5925.538574,,,,,,,
05/04/2020,14,6788.049805,,,,,,,
12/04/2020,13,6965.616699,,,,,,,
19/04/2020,17,7186.873535,,,,,,,
26/04/2020,22,7679.418945,,,,,,,
03/05/2020,23,8895.745117,,,,,,,
10/05/2020,30,8755.535156,,,,,,,
17/05/2020,16,9675.695313,,,,,,,
24/05/2020,17,8786.107422,,,,,,,
31/05/2020,14,9463.605469,,,,,,,
07/06/2020,15,9760.063477,,,,,,,
14/06/2020,13,9386.035156,,,,,,,
21/06/2020,13,9300.915039,,,,,,,
28/06/2020,10,9140.029297,,,,,,,
05/07/2020,11,9072.849609,,,,,,,
12/07/2020,13,9277.205078,,,,,,,
19/07/2020,13,9187.220703,,,,,,,
26/07/2020,22,9905.217773,,,,,,,
02/08/2020,16,11043.76856,,,,,,,
09/08/2020,13,11662.25684,,,,,,,
16/08/2020,15,11895.6582,,,,,,,
23/08/2020,12,11663.68945,,,,,,,
30/08/2020,18,11713.30664,,,,,,,
06/09/2020,12,10280.99805,,,,,,,
13/09/2020,11,10328.73438,,,,,,,
20/09/2020,12,10934.92578,,,,,,,
27/09/2020,9,10776.61328,,,,,,,
04/10/2020,11,10676.5293,,,,,,,
11/10/2020,11,11392.63574,,,,,,,
18/10/2020,19,11495.03809,,,,,,,
25/10/2020,19,13031.20117,,,,,,,
01/11/2020,20,13737.03223,,,,,,,
08/11/2020,18,15479.5957,,,,,,,
15/11/2020,27,15955.57715,,,,,,,
